route_id,calendar_id,shape_id,headsign,direction_id,block_id
10,2,25,,0,96876fa5-c056-45e8-a04b-40c24d4cc52d
5,2,22,,0,0c90097e-da20-4fb4-af23-95f29c87e5dd
13,2,9,,0,52f9a1d8-bb95-4db8-a2c7-d317c8d82f39
13,2,9,,0,763b9e79-5fda-45b4-b7b5-a25bc1bbb292
6,2,20,,0,bb207cb1-46a4-47a4-8381-44eddc09d579
7,2,15,,0,2501f212-5752-4d46-9858-90cf06d14fbf
7,2,15,,0,7f2cde49-4c22-4509-8b23-6965f15ab2b7
12,2,23,,0,2eabc734-2231-4317-8a40-1f4e571976f2
5,2,22,,0,e67a1836-9389-449c-a109-2b7aa19cb912
9,2,16,,0,94695800-d247-4f83-a9ee-4e862d1c1fd6
11,2,17,,0,49a8679f-690d-4e05-9f83-d366b4969b85
11,2,17,,0,2c3bb9fd-da7b-4c15-ba54-3b7a22046c94
2,2,6,,0,fa3c96d4-ece6-4782-bf9a-1157ca28e632
2,2,14,,0,fa3c96d4-ece6-4782-bf9a-1157ca28e632
10,2,25,,0,c2d15b76-d72b-421e-b20c-e980a3b42e92
9,2,10,,0,c34f5f62-c5f9-41ed-9e90-e1485ae31cb3
1,2,19,,0,3c6c20c3-29e6-4b9b-9234-b67e2a62c2e2
8,2,11,,0,d6dec96a-4b1f-4418-b8fb-464bb17701f5
9,2,16,,0,94695800-d247-4f83-a9ee-4e862d1c1fd6
4,2,3,,0,7f3fd13f-00e3-4698-88ff-2967e1b8ac79
7,2,15,,0,1bf479c3-7df2-4e3e-968a-7e936959113f
9,2,10,,0,39321502-c51a-4e42-8fb6-28606bccb7a5
7,2,15,,0,2501f212-5752-4d46-9858-90cf06d14fbf
9,2,16,,0,2f9c6b11-f5a9-4c7f-b23d-256c0b21e5c3
9,2,16,,0,f817b295-9e5c-452b-9f5a-830fbc9700d1
13,2,9,,0,763b9e79-5fda-45b4-b7b5-a25bc1bbb292
11,2,18,,0,1304e690-e977-45e5-8e2d-040e4b5bc94d
1,2,19,,0,bb4cd9f0-2985-4f34-a958-48fb421fd1fe
8,2,11,,0,bc81420d-a0a4-49d2-82d3-b4d754aefd48
9,2,10,,0,3fa6e298-6eeb-4178-a746-0d5a4beb3ce1
6,2,8,,0,58cf6b95-ea8f-408a-ac08-17195ee3e51a
7,2,4,,0,1bf479c3-7df2-4e3e-968a-7e936959113f
7,2,4,,0,1bf479c3-7df2-4e3e-968a-7e936959113f
