shape_id,pt_lan,pt_lon,pt_sequence,shape_dist_traveled
21,30.59815008,-96.33742728,16,6414.46
24,30.60631741,-96.31401159,25,7368.75
19,30.58935243,-96.3339565,6,3051.58
23,30.60584802,-96.34975203,2,874.74
16,30.60000215,-96.35217138,29,5875.55
12,30.62161539,-96.33897894,9,1994.45
18,30.61264742,-96.34249665,9,1588.97
12,30.62220413,-96.33783363,15,2502.26
15,30.61258841,-96.34825804,6,959.07
4,30.61175693,-96.34943687,5,379.33
22,30.61160538,-96.32406585,30,8496.09
4,30.60936037,-96.34679087,16,1933.31
9,30.61280701,-96.34430715,26,7424.9
3,30.62091935,-96.33840494,5,393.34
11,30.64527784,-96.28734105,6,1594.12
9,30.61238725,-96.34829023,23,6935.53
10,30.61277214,-96.34430044,35,6456.13
10,30.5986597,-96.3557186,18,3143.01
16,30.61280165,-96.3443219,13,2841.32
20,30.61976466,-96.33493014,12,2202.93
23,30.603658,-96.34599023,4,1422.46
17,30.61196614,-96.34939261,9,1433.15
2,30.61253879,-96.3427461,13,3545.52
10,30.60707647,-96.34793752,11,1689.05
26,30.61022941,-96.34607472,10,2242.63
24,30.60802329,-96.31283008,24,7148.07
1,30.6505229,-96.29509799,3,631.99
1,30.64705614,-96.29155614,29,16479.01
14,30.60972113,-96.33521714,0,0
16,30.60700405,-96.34786375,7,1855.36
9,30.61559919,-96.36590295,15,3719.25
2,30.61575342,-96.36901297,27,7760.8
15,30.61237518,-96.34827547,15,1926.92
4,30.61281238,-96.35001891,21,2647
11,30.65151397,-96.29135631,1,113.46
11,30.62272046,-96.33032345,21,10118.91
3,30.61100054,-96.34224855,14,1992.54
15,30.61037827,-96.34616189,5,642.05
19,30.58988888,-96.34654143,13,5130.34
24,30.60641128,-96.31639071,6,2554.31
25,30.610043,-96.33551084,17,5857.57
17,30.61178643,-96.34940334,18,3288.69
23,30.61075915,-96.34260394,17,3737.43
22,30.60922895,-96.32085391,4,2024.54
24,30.60950387,-96.30657114,11,3746.71
19,30.59815008,-96.33742728,16,6396.35
10,30.60834784,-96.34596073,30,5709.89
6,30.60891647,-96.33440577,1,118.39
10,30.61597202,-96.34336033,3,354.92
21,30.58721337,-96.33292921,7,3310.28
9,30.61597872,-96.34338178,2,287.38
18,30.60976539,-96.3529224,22,4091.25
26,30.60541216,-96.34348907,4,1080.83
27,30.60059223,-96.32799931,7,1473.56
26,30.60952667,-96.34701081,9,2123.83
18,30.61350841,-96.35083564,2,548.53
9,30.61781604,-96.3544982,12,2055.02
18,30.61012346,-96.35329657,0,0
12,30.61422188,-96.34501257,25,3836.4
14,30.62679742,-96.30572223,4,3971.53
1,30.64527784,-96.28734105,6,1594.12
1,30.61731581,-96.3352453,14,8413.35
24,30.61173056,-96.30793611,22,6516.18
22,30.60901437,-96.32052668,29,8051.73
6,30.62407229,-96.31282471,9,4949.21
26,30.61136801,-96.34710067,11,2402.74
18,30.61259512,-96.34823122,16,2889.19
6,30.62028099,-96.3220381,14,6141.73
17,30.61233763,-96.34842568,19,3400.46
15,30.61285797,-96.35006317,8,1205.55
26,30.61253343,-96.3431538,14,2830.31
25,30.6030317,-96.32795506,5,1094.5
10,30.61260719,-96.34352126,36,6532.87
19,30.58719594,-96.34709664,11,4669.13
12,30.62017236,-96.33779206,20,2850.48
8,30.62041376,-96.33601912,4,827.53
2,30.61240602,-96.34829693,9,2903.51
12,30.61100054,-96.34224855,0,0
20,30.62324617,-96.33678355,0,0
20,30.62029708,-96.33764454,14,2485.57
15,30.60961518,-96.34696521,4,527.63
10,30.59852291,-96.35346421,24,4235.13
15,30.61261255,-96.35010742,13,1683.44
10,30.61343733,-96.34501793,5,708.37
27,30.60896341,-96.33430653,1,166.3
6,30.62030647,-96.31709479,11,5533.89
21,30.58674667,-96.33794897,8,3793.25
1,30.61504129,-96.31904208,23,11523.38
24,30.60651589,-96.31671794,27,7628.53
14,30.60972113,-96.33521714,15,8230.19
6,30.627531,-96.30648531,6,4092.39
9,30.61127145,-96.34726294,24,7093.72
10,30.61250526,-96.34514131,34,6370.42
26,30.60466517,-96.34193875,6,1353.03
12,30.61309937,-96.34485297,26,3962.06
9,30.61391074,-96.341578,29,7802.7
26,30.60291234,-96.34710737,2,637.05
10,30.60048763,-96.35720455,19,3390.91
11,30.64243067,-96.29048325,26,15620.25
20,30.61736006,-96.33517556,7,1071.79
27,30.60764108,-96.33266099,2,381.61
24,30.61252002,-96.32519104,31,8678.93
26,30.60707647,-96.34793752,0,0
9,30.62235702,-96.35867976,14,2698.95
1,30.61525989,-96.33844786,15,8795.43
11,30.62571783,-96.30689837,9,4468.25
8,30.6184933,-96.33461096,11,1843.9
15,30.61118293,-96.35107168,10,1456.59
17,30.61472613,-96.34233438,2,312.32
11,30.61519954,-96.31891333,10,6107.19
9,30.61594251,-96.36729636,16,3857.86
15,30.61251867,-96.34313636,20,2530.26
24,30.61040778,-96.33587026,35,10244.42
3,30.61245564,-96.3455423,16,2460.56
24,30.60901437,-96.32052668,29,8086.55
3,30.6141508,-96.34505146,10,1492.53
23,30.60707647,-96.34793752,1,653.95
10,30.60830224,-96.34616457,10,1471.56
21,30.58931488,-96.33390151,6,3058.92
4,30.60954008,-96.34436213,14,1600.27
1,30.61855499,-96.33464449,13,8264.15
10,30.6113613,-96.34735145,7,1031.41
16,30.60952265,-96.34698131,9,2256.83
23,30.61137069,-96.34707653,12,3050.51
12,30.62180314,-96.33828827,16,2564.51
1,30.61519954,-96.31891333,10,6107.19
12,30.61718974,-96.34197362,21,3369.85
1,30.64858902,-96.29320972,30,16711.4
11,30.61967615,-96.33487113,20,9567.96
6,30.62648226,-96.30979516,8,4554.71
6,30.60923297,-96.3343709,15,7844.12
20,30.61527733,-96.33836203,8,1454.43
22,30.60802329,-96.31283008,24,7113.25
14,30.60893658,-96.33442186,1,115.69
2,30.61565552,-96.36594989,25,7464.28
9,30.61473284,-96.34233036,1,116.28
8,30.61491389,-96.33809783,0,0
11,30.61977942,-96.33497976,12,8124.36
10,30.61273459,-96.34556644,6,802.44
20,30.62155906,-96.33922302,2,303.04
9,30.61368544,-96.35065459,10,1466.97
24,30.61123256,-96.32359915,3,1680.3
11,30.6147315,-96.33800664,16,8867.73
18,30.61082754,-96.35421388,19,3726.52
1,30.6472278,-96.29148238,4,1135.51
27,30.610043,-96.33551084,17,5857.57
24,30.61473954,-96.32789068,2,1114.35
1,30.634262,-96.29741945,25,14496.11
11,30.64236764,-96.29037328,7,2028.41
10,30.6024671,-96.35307395,27,4752.02
24,30.60713146,-96.31762587,28,7739.07
10,30.61024818,-96.34606131,32,5983.54
9,30.61575342,-96.36901297,17,4023.36
24,30.61135594,-96.30904951,23,6630.51
11,30.61525989,-96.33844786,15,8795.43
18,30.60977209,-96.35301091,20,3890.81
1,30.65049339,-96.29131876,0,0
23,30.60579438,-96.34299286,8,2157.54
3,30.61516333,-96.34464376,9,1373.45
2,30.61589692,-96.36725881,26,7592.29
1,30.65270487,-96.2928275,2,306.57
22,30.61252002,-96.32519104,31,8644.11
17,30.6107806,-96.35419645,11,2144.48
27,30.60187701,-96.32659249,6,1277.38
25,30.59107173,-96.33087196,13,3090.5
21,30.59077937,-96.33558326,5,2830.1
24,30.61040778,-96.33587026,0,0
3,30.62176425,-96.33866109,23,4018.6
27,30.59185091,-96.32947855,12,2931.56
20,30.61491389,-96.33809783,9,1502.07
2,30.61195005,-96.34938188,22,4991.32
2,30.61575342,-96.36901297,0,0
14,30.62850598,-96.30740263,6,4220.32
3,30.61250392,-96.34314038,12,1776.79
12,30.62151212,-96.33912914,18,2653.3
15,30.6104574,-96.34304919,22,2839.09
2,30.61381552,-96.35089465,7,2508.51
15,30.61256561,-96.34501123,18,2342.18
21,30.60908947,-96.33424752,19,7897.95
19,30.58664474,-96.34594329,10,4542.94
21,30.58719594,-96.34709664,11,4687.24
12,30.61018515,-96.34342872,1,144.74
9,30.61146993,-96.34721868,7,946.84
4,30.61278958,-96.34426959,10,1015.77
25,30.59959043,-96.32662736,8,1645.64
11,30.61837662,-96.33447283,19,9418.62
24,30.6064314,-96.31570675,26,7531.37
18,30.61227728,-96.3453693,6,1282.5
16,30.61486695,-96.34492539,19,3699.47
18,30.61193261,-96.34932019,17,3016.73
2,30.61280433,-96.34433263,12,3390.95
16,30.60183007,-96.35284462,5,1063.16
25,30.59545312,-96.32320352,9,2210.09
24,30.61307657,-96.30472578,20,6174.54
20,30.62041376,-96.33601912,13,2329.6
21,30.59967358,-96.34495624,2,1493.85
22,30.60565222,-96.31079294,9,3157.83
22,30.61271582,-96.30549156,21,6222.81
10,30.59811789,-96.3551996,23,4063.15
10,30.61474893,-96.34235181,2,188.27
2,30.61558042,-96.36586138,2,304.28
4,30.61160404,-96.35060363,2,100.83
1,30.64243067,-96.29048325,26,15620.25
4,30.61136264,-96.35142975,0,0
22,30.61557505,-96.29981734,14,4680.8
14,30.61097238,-96.33608483,14,8068.27
16,30.60050774,-96.3571965,33,6551.05
25,30.5937298,-96.32618078,11,2553.28
22,30.60733531,-96.30911924,10,3404
17,30.61380211,-96.35081687,10,1678.45
21,30.58664474,-96.34594329,10,4561.05
14,30.61735202,-96.31644436,3,2504.28
1,30.63407961,-96.29734569,8,3165.32
6,30.62053848,-96.32133,2,1916.01
2,30.61779592,-96.35453307,5,1945.75
16,30.61339039,-96.34145864,16,3153.38
22,30.60711671,-96.31767147,5,2408.89
17,30.61357949,-96.34132587,1,152.52
24,30.60565222,-96.31079294,9,3157.83
12,30.62173877,-96.33874424,17,2608.7
13,30.64086828,-96.35600292,9,5194.91
9,30.61583657,-96.36726015,18,4191.24
26,30.61075915,-96.34260394,16,3093.56
21,30.60938451,-96.33485772,21,8377.33
16,30.59880186,-96.35584333,32,6321.52
16,30.59828285,-96.35447272,31,6178.3
26,30.603658,-96.34599023,3,772.26
11,30.64705614,-96.29155614,29,16479.01
16,30.60953069,-96.34720661,24,4462.31
18,30.61376054,-96.35073506,18,3260.79
17,30.61254281,-96.3432061,23,4014.93
11,30.65049339,-96.29131876,31,16989.71
10,30.61339039,-96.34145864,0,0
25,30.60905058,-96.33423947,15,5464.25
19,30.60899157,-96.33450904,1,54.94
18,30.61177302,-96.34938457,3,786.11
24,30.60504872,-96.3115158,8,3061.51
24,30.60922895,-96.32085391,4,2024.54
16,30.61248917,-96.34530359,12,2741.22
17,30.61264742,-96.34249665,24,4083.77
22,30.61468992,-96.30558811,19,5954.55
13,30.67302529,-96.37196877,15,9738.58
13,30.6735671,-96.37190305,16,9799.11
13,30.61410788,-96.34504743,4,713.59
15,30.61176229,-96.34939932,14,1799.68
13,30.67338337,-96.37007781,17,9974.74
13,30.61317313,-96.34475239,5,821.22
13,30.66074748,-96.37197011,18,11390.44
13,30.61254952,-96.34562143,6,929.43
24,30.61214167,-96.30358611,12,4155.87
13,30.64355854,-96.35360636,19,13984.64
13,30.63456509,-96.36554756,7,4030.27
13,30.64104129,-96.35609411,20,14351.8
13,30.64356927,-96.35319599,10,5597.52
9,30.61300684,-96.34529017,5,695.48
13,30.63830409,-96.36174553,21,14971.84
13,30.6381901,-96.36161812,8,4581.09
13,30.63465763,-96.36572324,22,15527.55
22,30.60918469,-96.3343414,33,9882.23
25,30.60715157,-96.33129843,3,522.82
15,30.60839344,-96.34598487,2,362.53
11,30.64858902,-96.29320972,30,16711.4
8,30.61537389,-96.33833521,13,2354.48
16,30.61025355,-96.3461002,10,2373.86
25,30.60187701,-96.32659249,6,1277.38
22,30.61173056,-96.30793611,22,6480.96
19,30.59967358,-96.34495624,2,1493.85
3,30.62180582,-96.3382762,24,4055.69
1,30.62272046,-96.33032345,21,10118.91
19,30.60938451,-96.33485772,0,0
10,30.6003562,-96.35201313,26,4496.45
2,30.61375517,-96.35071763,23,5229.13
10,30.60516003,-96.35084503,12,2039.3
11,30.62336016,-96.32947721,11,7464.68
23,30.60543898,-96.34348773,5,1733.02
16,30.61022404,-96.34630405,23,4346.61
20,30.62028099,-96.33609422,4,674.39
16,30.60831431,-96.34618067,25,4629.33
16,30.61356742,-96.34130575,17,3177.89
12,30.61638374,-96.34338849,22,3532.11
4,30.61031122,-96.34608277,18,2082.37
15,30.61197016,-96.35095634,12,1575.34
2,30.61580572,-96.35272124,6,2226.69
10,30.6034233,-96.35295056,13,2318.22
6,30.60972113,-96.33521714,17,8262.57
6,30.61095495,-96.33613982,16,8099.53
9,30.61345745,-96.34499781,4,638.13
6,30.62677998,-96.30577587,5,3984.84
17,30.60932953,-96.35356881,13,2376.46
26,30.60707647,-96.34793752,17,3747.51
24,30.60892183,-96.33440309,1,216.68
22,30.60651589,-96.31671794,27,7593.71
23,30.61253343,-96.34314307,15,3479.01
22,30.61040778,-96.33587026,35,10209.6
27,30.59521038,-96.32364609,10,2260.28
15,30.6104574,-96.34304919,0,0
11,30.64631317,-96.28915824,28,16235.36
25,30.60059223,-96.32799931,7,1473.56
23,30.61028305,-96.34603181,11,2893.7
23,30.60552616,-96.34333753,9,2201.98
10,30.60359094,-96.35256969,28,4885.89
4,30.6125683,-96.34825133,19,2407.81
24,30.61730239,-96.2979398,15,4943.63
16,30.60347427,-96.35297739,27,5473.02
11,30.61731581,-96.3352453,14,8413.35
17,30.61289553,-96.34442114,22,3892.3
6,30.60972113,-96.33521714,0,0
4,30.61264474,-96.35011815,4,261.1
14,30.60924906,-96.33440443,13,7818.28
11,30.65049339,-96.29131876,0,0
11,30.6505229,-96.29509799,3,631.99
27,30.59107173,-96.33087196,13,3090.5
22,30.61123256,-96.32359915,3,1680.3
4,30.61242212,-96.34829425,6,511.25
24,30.61573611,-96.30389167,18,5780.96
27,30.60518686,-96.32892736,4,837.6
6,30.62155906,-96.31565042,10,5337.8
21,30.60899157,-96.33450904,1,54.94
18,30.61289687,-96.34442248,7,1396.25
16,30.61136264,-96.34709128,11,2529.33
16,30.60120378,-96.35825866,35,6759.89
27,30.6030317,-96.32795506,5,1094.5
20,30.62010933,-96.33768209,3,521.36
21,30.59286613,-96.33821585,4,2487.78
10,30.61255086,-96.34267368,37,6614.17
4,30.61218474,-96.34568446,8,862.49
21,30.59395242,-96.33931421,3,2327.75
12,30.61245564,-96.3455423,2,468.02
9,30.61257232,-96.34821915,8,1102.27
14,30.627531,-96.30648531,5,4080.93
19,30.58675069,-96.33797445,8,3777.54
9,30.62174413,-96.3581688,13,2615.13
1,30.62336016,-96.32947721,11,7464.68
2,30.61276544,-96.34550073,19,4488.79
20,30.62419701,-96.33580722,17,3457.94
11,30.64651568,-96.28908448,5,1378.02
25,30.59185091,-96.32947855,12,2931.56
12,30.62021259,-96.33756273,7,1787.48
17,30.60977209,-96.35301091,12,2303.9
3,30.62248308,-96.33753725,25,4158.92
22,30.60504872,-96.3115158,8,3061.51
24,30.61160538,-96.32406585,30,8530.91
14,30.62648226,-96.30979516,7,4541.11
9,30.61582584,-96.35268234,11,1773.84
24,30.60619805,-96.31344028,7,2837.48
4,30.61122987,-96.35096707,1,46.64
9,30.61191115,-96.3493725,9,1234.8
6,30.62022064,-96.31996744,3,2051.01
22,30.61473954,-96.32789068,2,1114.35
27,30.60462627,-96.33907952,14,4788.99
16,30.59924308,-96.35258847,30,5968.86
19,30.58728445,-96.333007,7,3298.67
16,30.61143372,-96.34735682,22,4178.67
2,30.61258171,-96.34823524,21,4861.12
22,30.6064314,-96.31570675,26,7496.55
14,30.61911825,-96.31851502,11,5709.7
26,30.60578633,-96.34288826,7,1507.2
8,30.61970163,-96.33505352,10,1703.12
