typeofrack,typeQuantity,total_Capacity,lat,lon
Coat Hanger,1,10,30.60628864,-96.35773494
Coat Hanger,2,20,30.60558767,-96.35894112
Coat Hanger,14,140,30.60477308,-96.34902569
Potato Mashser,3,9,30.60989279,-96.35361211
Coat Hanger,16,160,30.61102158,-96.35011122
Potato Masher,4,12,30.6106487,-96.35036467
Spiral,1,12,30.6094951,-96.34991418
Coat Hanger,13,130,30.61092362,-96.3477558
Coat Hanger,3,30,30.60690188,-96.34610274
Coat Hanger,5,50,30.6054915,-96.34503197
Ring,1,16,30.60440569,-96.34298172
Coat Hanger,1,10,30.60465405,-96.34185308
Coat Hanger,24,240,30.60745578,-96.34372571
Coat Hanger,5,50,30.61621841,-96.34546109
Coat Hanger,4,40,30.61666763,-96.34556335
Potato Masher,5,67,30.61672643,-96.34516926
Coat Hanger,6,60,30.61559617,-96.34665824
Coat Hanger,6,60,30.61683474,-96.34632604
Fence Rack,1,30,30.61721543,-96.34523332
Coat Hanger,2,20,30.61852804,-96.34364778
Ring,3,27,30.61819397,-96.34469491
Coat Hanger,2,20,30.61817117,-96.34515663
Upside Down U,81,162,30.60553124,-96.35062759
Upside Down U,72,144,30.60574272,-96.35088826
Potato Masher,2,12,30.60222452,-96.349463
Coat Hanger,2,20,30.60148641,-96.34870005
Potato Masher,1,6,30.603226,-96.34787463
Potato Masher,1,8,30.60880861,-96.35763774
Diagonal/Peak,4,20,30.60771702,-96.3392805
Diaginal/Peak,4,14,30.60867863,-96.33887288
Coat Hanger,25,250,30.61302221,-96.34127069
Diagonal/Peak,8,40,30.6129238,-96.34116032
Coat Hanger,6,60,30.61698583,-96.34331702
U,50,100,30.61513529,-96.34288236
Potato Masher,1,5,30.61571087,-96.34305482
Coat Hanger,2,20,30.61543736,-96.34218846
Coat Hanger,1,10,30.61462519,-96.34152045
Ring,1,14,30.61406924,-96.34126689
Ring,2,96,30.6193286,-96.34144669
Circle,19,19,30.61968852,-96.34286148
Circle,9,9,30.61985591,-96.34297206
Circle,9,9,30.62006895,-96.34271069
Coat Hanger,2,20,30.6182921,-96.34021232
Coat Hanger,2,20,30.61475122,-96.33856128
Coat Hanger,8,80,30.61646837,-96.33878755
Coat Hanger,5,50,30.61580366,-96.33813418
Ring,2,12,30.61668376,-96.33832461
Coat Hanger,2,20,30.61685261,-96.33849859
Coat Hanger,1,10,30.61743049,-96.33893114
Ring,1,18,30.61711193,-96.33949107
Coat Hanger,2,20,30.61222225,-96.33439081
Ring,3,10,30.62057699,-96.34155971
Coat Hanger,4,40,30.62008134,-96.34188874
Coat Hanger,2,20,30.61977387,-96.33922252
Coat Hanger,7,70,30.61993484,-96.33981994
Coat Hanger,5,50,30.61963964,-96.34068375
DP,3,14,30.61910801,-96.33746406
DP,1,5,30.61914934,-96.33755327
DP,2,17,30.61912474,-96.33759319
DP,1,5,30.61909547,-96.33763362
DP,1,5,30.61906953,-96.33767234
DP,2,14,30.6190444,-96.33770932
DP,1,5,30.6190172,-96.33774988
DP,1,5,30.61898898,-96.33779199
DP,1,5,30.61889738,-96.33792915
DP,3,11,30.61916052,-96.3380036
DP,2,7,30.61925649,-96.33809048
U,6,12,30.61945587,-96.33840358
Coat Hanger,2,20,30.61756863,-96.33718394
Coat Hanger,2,20,30.61735851,-96.33752578
Coat Hanger,4,40,30.61726433,-96.33766802
Coat Hanger,2,20,30.61810183,-96.33809965
Coat Hanger,2,20,30.61793747,-96.33833424
DP,5,0,30.61859521,-96.33753114
DP,1,4,30.61838641,-96.33785115
Coat Hanger,2,20,30.6163326,-96.33544641
Wall,5,5,30.6163326,-96.33544641
Ring,3,25,30.61692902,-96.33554001
Potato Masher,1,1,30.62608201,-96.34263992
Potato Masher,1,1,30.62628127,-96.34287092
Potato Masher,1,1,30.62646835,-96.34310402
Potato Masher,1,1,30.62588287,-96.34240015
Potato Masher,1,1,30.6256709,-96.3421373
Potato Masher,1,1,30.6254398,-96.34186588
Potato Masher,1,1,30.62586757,-96.34191034
Potato Masher,1,1,30.6256547,-96.34163927
Coat Hanger,1,10,30.62864178,-96.34229827
Potato Masher,1,2,30.62819529,-96.34168043
