lotname,lottype,lat,lon
McKenzie Pass Dropoff,Surface Loading,30.5936906,-96.36665064
McKenzie Pass Pickup,Surface Loading,30.59379547,-96.36678523
McKenzie Service,Surface Loading,30.59380618,-96.3660496
HSC1,Surface,30.59718826,-96.39392239
HSC2,Surface,30.59918083,-96.39752218
LynnTech,Surface,30.6043683,-96.35757369
OTC,Surface,30.60190735,-96.355049
Engineering Research Bldg,Surface,30.6013907,-96.35720916
Challenge Course,Surface,30.61559116,-96.3795567
Traditions Golf House,Surface,30.60114388,-96.38624351
Asbury St,Street,30.61868449,-96.3443151
Clayton Williams H/C,Surface,30.6079916,-96.33662393
Ireland St,Street,30.61831925,-96.34156822
Lamar St W,Street,30.61307371,-96.34215303
MSC Circle,Surface,30.6129578,-96.34181656
Lewis St,Street,30.61167442,-96.33519385
Mosher Ln,Street,30.61491753,-96.33522827
Commons LZ,Surface Loading,30.61486363,-96.33573786
Spence St North,Street,30.62075828,-96.34098243
Spence St Central,Surface,30.61694648,-96.33728318
Stallings Blvd,Street,30.61229945,-96.34276198
Moore Ave,Street,30.62698273,-96.34068782
W-X Row,Surface,30.62825973,-96.34121782
Fan Field Parking,Surface,30.59954502,-96.35472412
Aggie RV,Surface,30.59841272,-96.35760752
 ,Surface Misc,30.63716055,-96.47540242
 ,Surface Misc,30.64003911,-96.47540113
 ,Surface Misc,30.63379994,-96.47295219
 ,Surface Misc,30.63242297,-96.47124514
 ,Surface Misc,30.63575531,-96.46835205
 ,Surface Misc,30.63596521,-96.4679736
 ,Surface Misc,30.63480008,-96.47057595
 ,Surface Misc,30.63476849,-96.4708167
 ,Surface Misc,30.63849958,-96.47289923
 ,Surface Misc,30.64612606,-96.47126646
 ,Surface Misc,30.64570002,-96.47191933
 ,Surface Misc,30.6448995,-96.47308335
 ,Surface Misc,30.64124281,-96.46925111
 ,Surface Misc,30.6426283,-96.47090424
 ,Surface Misc,30.64502059,-96.47451456
 ,Surface Misc,30.64647856,-96.4717992
 ,Surface Misc,30.64603554,-96.47243484
 ,Surface Misc,30.64560741,-96.47305586
 ,Surface Misc,30.6451798,-96.47367513
 ,Surface Misc,30.64471662,-96.47394652
 ,Surface Misc,30.6446567,-96.47417374
 ,Surface Misc,30.6341997,-96.4749482
 ,Surface Misc,30.63498933,-96.47506792
 ,Surface Misc,30.63597587,-96.47438123
 ,Surface Misc,30.63850843,-96.47417609
 ,Surface Misc,30.63987921,-96.47455715
 ,Surface Misc,30.64180101,-96.47017051
 ,Surface Misc,30.63306834,-96.47246282
 ,Surface Misc,30.61905979,-96.41448074
 ,Surface Misc,30.64322584,-96.47487059
 ,Surface Misc,30.63252068,-96.47519555
 ,Surface Misc,30.63264644,-96.47437137
 ,Surface Misc,30.64378035,-96.47252905
 ,Surface Misc,30.64467856,-96.47217969
 ,Surface Misc,30.64395347,-96.47341551
 ,Surface Misc,30.55943466,-96.40885455
 ,Surface Misc,30.55937916,-96.41298921
 ,Surface Misc,30.55906433,-96.41220187
 ,Surface Misc,30.56122372,-96.41087938
 ,Surface Misc,30.55942592,-96.40960302
 ,Surface Misc,30.55914336,-96.41107362
 ,Surface Misc,30.56011708,-96.41176312
 ,Surface Misc,30.56098421,-96.412382
 ,Surface Misc,30.59576948,-96.3907953
 ,Surface Misc,30.59612734,-96.39073955
 ,Surface Misc,30.63204087,-96.43957892
GA Parking,Surface Misc,30.58983603,-96.35814981
TurboMach,Surface Misc,30.59123267,-96.35597214
Fire School,Surface Misc,30.57857086,-96.35143588
Fire School,Surface Misc,30.57823082,-96.35471576
Fire School,Surface Misc,30.58176746,-96.35701459
Fire School,Surface Misc,30.58529754,-96.35580692
Fire School,Surface Misc,30.58480815,-96.35525009
Fire School,Surface Misc,30.58466244,-96.35578294
Fire School,Surface Misc,30.58333984,-96.35662665
Fire School,Surface Misc,30.583126,-96.35582357
Fire School,Surface Misc,30.58264979,-96.35658249
Fire School,Surface Misc,30.58302019,-96.35615453
Fire School,Surface Misc,30.58335992,-96.35610104
Fire School,Surface Misc,30.58377026,-96.35619452
Fire School,Surface Misc,30.5848936,-96.35597822
Bush Residence LZ,Surface Loading,30.59754335,-96.35310302
UAP Service,Surface Misc,30.62618888,-96.34148325
